,0
318,-44558.796707671885
319,-44578.49552665991
320,-44552.37908532674
321,-44570.236353840635
322,-44541.486177379134
323,-44529.71248456903
324,-44570.235681496415
325,-44564.16512183954
326,-44556.85807881014
327,-44552.37980634909
328,-44581.600076257244
329,-44560.22612706527
330,-44545.67727363433
331,-44563.46434037238
332,-44549.69496236321
333,-44557.17360406832
334,-44558.64419664492
335,-44578.44136827394
336,-44577.114860070425
337,-44578.81045241206
338,-44576.53431567323
339,-44564.677555039634
340,-44587.99321257486
341,-44552.86379004431
342,-44560.45727212861
343,-44576.1504206964
344,-44567.410185037734
345,-44533.75852615363
346,-44534.19000557152
347,-44558.23760502664
348,-44547.45874975475
349,-44557.50763228997
350,-44561.769708004984
351,-44578.8758258632
352,-44559.76657034083
353,-44551.27393823386
354,-44562.80808244149
355,-44578.707487393185
356,-44570.41570474065
357,-44545.00180143571
358,-44561.334487747175
359,-44575.41882262075
360,-44551.82896483851
361,-44543.85064046745
362,-44559.697484112745
363,-44536.287885561
364,-44563.17969339658
365,-44580.83894717109
366,-44555.9803016323
367,-44529.80257260177
368,-44571.70256734094
369,-44578.59588474034
370,-44563.512019873866
371,-44547.045698184884
372,-44577.998801177004
373,-44557.42918912487
374,-44551.38343184005
375,-44551.73685246827
376,-44544.26020760604
377,-44550.36119264541
378,-44564.90268433951
379,-44560.420221016975
380,-44546.212861789376
381,-44593.96502047316
382,-44573.36886754849
383,-44569.42121248717
384,-44584.243130039744
385,-44552.83469232648
386,-44554.04540490058
387,-44568.59404666209
388,-44561.479113186
389,-44559.79846745469
390,-44578.76776950488
391,-44568.082214486276
392,-44584.708449057885
393,-44534.914544372936
394,-44556.954452155915
395,-44579.67805330797
396,-44561.95306820054
397,-44570.16035712612
398,-44536.163559553264
399,-44563.63030478306
400,-44611.22651115766
401,-44566.78423468917
402,-44565.6917547211
403,-44536.011722889336
404,-44556.48119965619
405,-44579.64909249215
406,-44551.86204212993
407,-44563.74718676524
408,-44565.77289453603
409,-44557.153833334836
410,-44557.465073812404
411,-44590.73317178206
412,-44544.32499406319
413,-44576.61780009847
414,-44574.07387231933
415,-44595.44275847293
416,-44579.90346996153
417,-44545.082977568396
418,-44572.849927490344
419,-44537.01395899547
420,-44555.99143552547
421,-44566.91863027129
422,-44573.442352703394
423,-44565.29047774841
424,-44548.13486395002
425,-44552.52457205877
426,-44562.93423342962
427,-44572.99176672248
428,-44530.78166061727
429,-44567.82968052716
430,-44574.40523977506
431,-44561.69687896847
432,-44563.98056042386
433,-44548.4523872415
434,-44559.06611566654
435,-44551.95969823279
436,-44557.06747698304
437,-44584.432914504796
438,-44575.2477115073
439,-44565.16449192436
440,-44554.49421618837
441,-44577.54029554758
442,-44604.11057064873
443,-44560.78718424106
444,-44561.11670101556
445,-44556.790348094415
446,-44577.826119770296
447,-44541.163666592605
448,-44555.032428073246
449,-44586.47665794912
450,-44603.835966618295
451,-44568.3692513251
452,-44589.8169883213
453,-44557.7271733492
454,-44555.41367769021
455,-44559.67106892571
456,-44569.60065142818
457,-44552.85238879683
458,-44559.9960190968
459,-44543.24038093647
460,-44573.1434704697
461,-44556.53840876495
462,-44571.560609045875
463,-44561.63243535142
464,-44575.297262603766
465,-44568.590767816626
466,-44551.01350379184
467,-44556.75372769583
468,-44549.423873316584
469,-44579.37748528455
470,-44575.64504584781
471,-44555.65239471308
472,-44551.488977344445
473,-44564.56847052142
474,-44574.354720943586
475,-44562.04663646435
476,-44560.22842462289
477,-44572.56520242549
478,-44554.931330710286
479,-44561.00863149955
480,-44583.79234786818
481,-44571.61271889269
482,-44551.33047588568
483,-44577.62778928492
484,-44534.32905494247
485,-44579.39216567039
486,-44560.41789406625
487,-44529.831908445965
488,-44541.182242439514
489,-44577.68267412795
490,-44563.637181107064
491,-44563.41169902096
492,-44573.117182483176
493,-44570.61745354353
494,-44575.49154687427
495,-44565.55233269677
496,-44560.27557632662
497,-44591.05621545378
498,-44562.9231157086
499,-44576.64252789786
500,-44563.03060387808
501,-44559.575480146974
502,-44562.03692895071
503,-44532.56327831253
504,-44560.194466425186
505,-44567.61831268898
506,-44549.73448150979
507,-44574.25396015845
508,-44579.87667805094
509,-44566.004166575796
510,-44554.11912957457
511,-44547.735078715166
512,-44558.94127771827
513,-44579.61899794942
514,-44555.67186012062
515,-44577.953189329826
516,-44561.397582850615
517,-44565.073015780785
518,-44570.55689086123
519,-44567.25666518307
520,-44571.284773139734
521,-44562.09153698867
522,-44541.96099538794
523,-44593.311844882075
524,-44572.587860109576
525,-44555.54688880195
526,-44581.17257300101
527,-44581.16012296484
528,-44544.36051074503
529,-44553.50392955397
530,-44560.45168394173
531,-44566.14694440371
532,-44559.04617089826
533,-44565.550187300294
534,-44569.59252037824
535,-44555.94628157597
536,-44559.816202401904
537,-44574.12997215352
538,-44578.01668431
539,-44563.30833677764
540,-44547.05838351356
541,-44575.91861621929
542,-44558.88728122815
543,-44571.31418275448
544,-44579.55953563982
545,-44567.16790262499
546,-44554.507427906196
547,-44565.906406688926
548,-44542.481784127085
549,-44552.87618777068
550,-44549.60910909375
551,-44549.99286224868
552,-44542.08999173607
553,-44556.8091822024
554,-44566.20190695573
555,-44556.88021619041
556,-44582.861219471015
557,-44554.3283426787
558,-44555.90179841147
559,-44564.99897859305
560,-44568.543633385714
561,-44570.16715361712
562,-44560.14867162364
563,-44559.7935713936
564,-44574.64262497482
565,-44554.87073568249
566,-44554.02946609267
567,-44563.02595947101
568,-44546.61713013111
569,-44559.658210208465
570,-44565.206945605765
571,-44564.208659032476
572,-44554.72127975632
573,-44560.42291053461
574,-44565.36920913197
575,-44590.598577323166
576,-44579.046589563935
577,-44575.08245584584
578,-44584.99306609193
579,-44575.62635252396
580,-44536.9133416041
581,-44579.32544217474
582,-44590.10239306135
583,-44550.00957265828
584,-44570.2966684616
585,-44525.1824036846
586,-44566.33832583008
587,-44561.64278284635
588,-44589.74273949044
589,-44572.718065199006
590,-44563.059381014245
591,-44592.94254486043
592,-44585.93980405496
593,-44557.92164273598
594,-44577.21835445241
595,-44574.06317762804
596,-44561.24639972644
597,-44569.13369579951
598,-44558.22668783656
599,-44570.921916175925
600,-44573.58159098284
601,-44557.258254003595
602,-44559.46927636636
603,-44563.82574608916
604,-44556.442137675695
605,-44554.90492053378
606,-44555.721427423065
607,-44570.75889607798
608,-44544.09962780679
609,-44574.9233770218
610,-44551.20500116437
611,-44596.18778471462
612,-44589.090115538434
613,-44572.61068417589
614,-44568.37405841613
615,-44575.800787205095
616,-44585.69082773644
617,-44562.60401400538
618,-44584.973453634
619,-44566.122342967035
620,-44559.06860135017
621,-44555.6430311265
622,-44570.61801407938
623,-44554.68354951654
624,-44564.61461624725
625,-44562.318002574066
626,-44590.02021091969
627,-44564.43268656661
628,-44543.77481379814
629,-44575.09056240384
630,-44558.62898953383
631,-44590.80259059032
632,-44559.85023065307
633,-44561.31249279587
634,-44562.578733572824
635,-44565.46730837846
636,-44561.02089773535
637,-44540.94373780125
638,-44551.39896821265
639,-44576.00059585988
640,-44586.98555357414
641,-44565.64611014591
642,-44572.378376149296
643,-44578.402194439375
644,-44576.8443229106
645,-44557.64799738192
646,-44601.197319237064
647,-44547.35851030455
648,-44565.01983066027
649,-44571.68930823111
650,-44575.699015272105
651,-44566.53242159411
652,-44555.41336608396
653,-44545.22040001082
654,-44563.33926521437
655,-44575.50706871863
656,-44556.63548138669
657,-44557.21064724956
658,-44578.75397634374
659,-44558.5767497928
660,-44581.54614452161
661,-44560.90284768898
662,-44568.525350560194
663,-44571.633752397305
664,-44543.626775000084
665,-44573.359458419414
666,-44573.997810800734
667,-44558.35978725673
668,-44564.650700666825
669,-44530.91342205619
670,-44554.23602702908
671,-44549.90692689229
672,-44541.344932919616
673,-44552.31883202615
674,-44549.058394697175
675,-44576.42196592961
676,-44581.45155304743
677,-44581.814990278326
678,-44568.19584307284
679,-44587.185820791245
680,-44564.48925638428
681,-44576.836968274
682,-44576.35815305331
683,-44592.95340636573
684,-44547.445946887136
685,-44571.52100805886
686,-44552.431524409505
687,-44550.165318556334
688,-44564.381057122955
689,-44580.321255462855
690,-44576.270008509106
691,-44585.788014952224
692,-44582.57339197231
693,-44549.681750188116
694,-44578.07292560149
695,-44565.85919365825
696,-44549.37681393656
697,-44572.99996554802
698,-44580.55360055866
699,-44566.22191077321
700,-44557.70683377661
701,-44582.80498921341
702,-44569.7082688983
703,-44561.49511585269
704,-44549.37202019802
705,-44544.27326264296
706,-44571.456486706316
707,-44548.64807075514
708,-44555.50208808614
709,-44570.758440958656
710,-44565.787410704026
711,-44544.884575651726
712,-44572.028705472
713,-44567.52996336852
714,-44576.495484029896
715,-44549.38462674993
716,-44571.572444537516
717,-44585.46041236284
718,-44552.30920866829
719,-44553.17917753951
720,-44577.870404241316
721,-44584.92762081026
722,-44565.447179482246
723,-44548.61953460933
724,-44560.41451913539
725,-44573.092250862945
726,-44580.01746347213
727,-44579.28407136756
728,-44558.522776013415
729,-44559.64624202038
730,-44579.298105471185
731,-44562.7634012537
732,-44575.87497712578
733,-44552.74678181869
734,-44572.42934425344
735,-44558.31122317046
736,-44567.86935202624
737,-44566.08748902757
738,-44558.541003959705
739,-44564.702192527824
740,-44559.01573763616
741,-44578.12208208576
742,-44560.32118050287
743,-44568.999631718
744,-44558.92387884855
745,-44557.17999570678
746,-44564.10734105068
747,-44538.14493445924
748,-44551.434791082895
749,-44579.53664836945
750,-44578.98894873691
751,-44555.37782015394
752,-44567.21610746732
753,-44580.27536719473
754,-44543.54217690739
755,-44563.06531278205
756,-44563.66896390253
757,-44565.93026183502
758,-44563.990869727975
759,-44563.3980836173
760,-44564.38539101419
761,-44539.19243607256
762,-44557.263893851275
763,-44575.53758547269
764,-44558.72318881328
765,-44570.06892518903
766,-44569.76191647248
767,-44569.26258539361
768,-44577.118506233615
769,-44571.0476328564
770,-44576.486033745176
771,-44557.02754361536
772,-44574.56078362152
773,-44560.29046064708
774,-44558.07334301509
775,-44569.98687862119
776,-44567.08798439515
777,-44571.98169972302
778,-44570.78678471068
779,-44562.341210405735
780,-44591.69900396596
781,-44551.70055781144
782,-44564.27366572806
783,-44557.701149564
784,-44555.25210481374
785,-44539.833054141476
786,-44564.30064612522
787,-44549.32855822785
788,-44576.50020685933
789,-44573.538614373756
790,-44567.640955261384
791,-44568.443563329565
792,-44559.3436324878
793,-44559.58063014425
794,-44554.9883629183
795,-44568.63730970063
796,-44574.83548368697
797,-44564.319727843555
798,-44562.22107844164
799,-44572.7964546913
800,-44563.561676467245
801,-44551.78270174518
802,-44557.01488279799
803,-44576.19305585102
804,-44563.69018378358
805,-44549.534714463734
806,-44563.34465419735
807,-44557.04814532171
808,-44581.537804053136
809,-44538.86059948066
810,-44595.78435514203
811,-44594.146718661825
812,-44563.75344584083
813,-44584.220046767994
814,-44610.24143501333
815,-44548.2269414903
816,-44546.947945374464
817,-44565.95110364323
818,-44556.547389470055
819,-44587.42707134313
820,-44556.90179609592
821,-44572.59004329993
822,-44562.165901910004
823,-44566.300339978174
824,-44553.48601568355
825,-44555.160092299106
826,-44562.24272585125
827,-44569.73180462596
828,-44570.318205912714
829,-44563.35901437992
830,-44548.28169358068
831,-44577.711974422775
832,-44578.16824442716
833,-44579.497811751135
834,-44583.09795468228
835,-44572.51996385587
836,-44570.6530464368
837,-44579.42626137958
838,-44568.241480207675
839,-44579.87387895046
840,-44567.001736850594
841,-44565.454697444184
842,-44554.4682665331
843,-44551.78042472244
844,-44578.32266309092
845,-44548.86703409589
846,-44567.81079739386
847,-44552.75199667388
848,-44582.62445604033
849,-44578.38038007822
850,-44566.248191748164
851,-44568.3150924972
852,-44593.73847023904
853,-44567.29563975219
854,-44585.06996946994
855,-44568.71114575289
856,-44574.25545530303
857,-44558.076091120995
858,-44566.537894782836
859,-44554.38516447655
860,-44552.867543206325
861,-44555.10548585312
862,-44553.49093103389
863,-44558.470121004684
864,-44584.3396282447
865,-44582.685548225374
866,-44537.073015192625
867,-44548.83374105056
868,-44548.29906985862
869,-44566.04563518069
870,-44560.44998819269
871,-44572.35837184605
872,-44564.56897879189
873,-44586.281716259706
874,-44568.859455798505
875,-44569.547210254634
876,-44561.53273347873
877,-44576.289274304785
878,-44549.699917569116
879,-44536.4506110943
880,-44554.51303852506
881,-44567.3889864024
882,-44575.515498435285
883,-44557.112232253305
884,-44546.51839564589
885,-44564.364045020804
886,-44563.84206502687
887,-44554.432470662316
888,-44578.86354406833
889,-44572.42712365069
890,-44546.54214123989
891,-44561.31498434709
892,-44586.32082838406
893,-44552.68998424466
894,-44553.3459511125
895,-44565.194499652585
896,-44566.04287007475
897,-44561.8212153294
898,-44544.218215357985
899,-44547.4974668524
900,-44567.69833893579
901,-44575.5358822985
902,-44560.25781973892
903,-44584.77094436292
904,-44558.94714071281
905,-44551.59107815445
906,-44544.283251751025
907,-44565.57700067562
908,-44569.958394511064
909,-44575.36710258111
910,-44561.164404750045
911,-44568.45022762351
912,-44556.0010996802
913,-44548.21867450077
914,-44568.341482842094
915,-44550.89176174851
916,-44567.7071304989
917,-44551.061568105775
918,-44556.25405340461
919,-44602.8046047526
920,-44533.12000141393
921,-44585.987684621585
922,-44585.875533381506
923,-44559.07278433421
924,-44561.36377696166
925,-44581.95038174731
926,-44571.01919842388
927,-44557.72571850184
928,-44548.4675627203
929,-44571.71661691232
930,-44545.00498456805
931,-44583.24384500142
932,-44554.3662160403
933,-44576.09709180043
934,-44562.262962009525
935,-44574.30699926325
936,-44578.78882308741
937,-44552.54853376065
938,-44560.622013379005
939,-44565.677439627914
940,-44571.24794757922
941,-44555.33637300822
942,-44565.428784287025
943,-44570.278581005405
944,-44592.80998781472
945,-44558.05284146636
946,-44574.0274034624
947,-44566.30162854934
948,-44573.3164545397
949,-44578.60537165781
950,-44568.72644005381
951,-44538.63301960784
952,-44554.26902963673
953,-44561.4988121417
954,-44538.74232985664
955,-44558.30427095766
956,-44574.65856872295
957,-44584.76075685877
958,-44557.772152443635
959,-44542.08010468208
960,-44550.63080715463
961,-44564.85089583881
962,-44551.8457851789
963,-44559.38705198652
964,-44583.305670114845
965,-44561.590573681235
966,-44542.812059023956
967,-44573.27858678147
968,-44562.04819142329
969,-44578.23756939588
970,-44593.91720812059
971,-44543.81419266469
972,-44557.740445102565
973,-44541.77256086523
974,-44553.90938992324
975,-44566.33421178195
976,-44571.36009703016
977,-44574.93528647143
978,-44553.7191550955
979,-44554.981265558745
980,-44570.769344018416
981,-44565.8216787755
982,-44578.36576963181
983,-44578.16265483021
984,-44567.94641391013
985,-44574.271717842996
986,-44560.00461586706
987,-44600.61869140813
988,-44553.54760568941
989,-44550.93200408805
990,-44554.61249672588
991,-44553.52141850609
992,-44557.54226162651
993,-44559.86809756928
994,-44571.11111207704
995,-44553.29472897774
996,-44564.78265717901
997,-44573.13166922808
998,-44583.29519346889
999,-44558.38395160195
