,th0,th1,th2,th3,thp0,thp1,thp2,thp3,ng0,ng1,ng2,ng3,acceptProb,loglikelihood,acceptflag
651,-0.0852008350566,0.985527568016,0.135838830992,1.73038531103,-0.138829318633,0.973567378349,0.119704572793,1.62260524714,0.0,0.0,0.0,0.0,0.0242853166457,-425.220742453,0.0
652,-0.0852008350566,0.985527568016,0.135838830992,1.73038531103,0.275998135222,0.973897742948,0.216554800219,1.87789578911,0.0,0.0,0.0,0.0,0.0489416441904,-425.220742453,0.0
653,-0.0852008350566,0.985527568016,0.135838830992,1.73038531103,-0.432047934242,0.940479791863,0.0261359364386,1.87422651038,0.0,0.0,0.0,0.0,4.11511112929e-39,-425.220742453,0.0
654,-0.0852008350566,0.985527568016,0.135838830992,1.73038531103,-0.102774117294,1.03480636477,0.151466954714,1.82112779848,0.0,0.0,0.0,0.0,0.0,-425.220742453,0.0
655,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,0.0,0.0,0.0,0.0,0.0217863723737,-429.729459161,1.0
656,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.538597293113,0.926756460899,0.26427300052,1.52471728289,0.0,0.0,0.0,0.0,2.89295838405e-06,-429.729459161,0.0
657,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.712863221586,0.907515133289,0.134324451659,1.83869577093,0.0,0.0,0.0,0.0,2.28126473909e-33,-429.729459161,0.0
658,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.248429196593,0.976774791984,0.396728654872,1.60510062893,0.0,0.0,0.0,0.0,0.00375009796327,-429.729459161,0.0
659,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.397371886588,0.920747164709,0.27258713523,1.42548927235,0.0,0.0,0.0,0.0,3.88795554956e-05,-429.729459161,0.0
660,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,0.0381412283691,0.904025092952,0.205315351199,1.73397302689,0.0,0.0,0.0,0.0,0.0182505648594,-429.729459161,0.0
661,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.404465704741,1.05181911118,0.314851293073,1.60276318615,0.0,0.0,0.0,0.0,0.0,-429.729459161,0.0
662,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.0687785294235,1.01811065013,0.0222176928542,1.62989892433,0.0,0.0,0.0,0.0,0.0,-429.729459161,0.0
663,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.709776012534,0.977015187319,0.121635125516,1.7930011469,0.0,0.0,0.0,0.0,2.59199056472e-07,-429.729459161,0.0
664,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.479313068694,0.961626568402,0.340630305838,1.84488222787,0.0,0.0,0.0,0.0,0.00211016183858,-429.729459161,0.0
665,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.272818737119,0.935236447484,0.0780845475977,1.67488339834,0.0,0.0,0.0,0.0,4.24407465172e-12,-429.729459161,0.0
666,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.116407153929,0.855849280584,0.144719058652,1.81567851607,0.0,0.0,0.0,0.0,1.0628102358e-11,-429.729459161,0.0
667,-0.327334537715,0.967138172156,0.214097333829,1.64362202571,-0.521033278446,0.914059816371,0.199378998586,1.53429024148,0.0,0.0,0.0,0.0,6.94903189385e-10,-429.729459161,0.0
668,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,0.0,0.0,0.0,0.0,7.52461017151,-429.085625254,1.0
669,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,0.0144782679032,0.92757192452,0.215306499017,1.65869965832,0.0,0.0,0.0,0.0,0.465779837895,-429.085625254,0.0
670,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.317598740277,0.881764113941,0.140725243517,1.70700374264,0.0,0.0,0.0,0.0,7.77930877359e-16,-429.085625254,0.0
671,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.0954009417309,0.947846276557,0.126474591258,1.73020747492,0.0,0.0,0.0,0.0,0.000641536022381,-429.085625254,0.0
672,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.352214489919,0.982694541612,0.209817552242,1.81944083583,0.0,0.0,0.0,0.0,0.0285148077547,-429.085625254,0.0
673,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.114324939134,0.994405408207,0.279788453268,1.79865848626,0.0,0.0,0.0,0.0,0.00471983690417,-429.085625254,0.0
674,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,0.114916601256,0.930417662451,0.173643076071,1.6047506354,0.0,0.0,0.0,0.0,0.283610663994,-429.085625254,0.0
675,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,0.0267631352282,0.977771643422,0.404704229279,1.69417779039,0.0,0.0,0.0,0.0,0.000619970092254,-429.085625254,0.0
676,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,0.158836379372,1.0584660215,0.103672034821,1.59110167036,0.0,0.0,0.0,0.0,0.0,-429.085625254,0.0
677,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.189324527319,0.902388666325,0.0643906182952,1.52951028272,0.0,0.0,0.0,0.0,1.74691839671e-11,-429.085625254,0.0
678,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,0.0392186103373,0.895487477731,0.257772487529,1.51638368643,0.0,0.0,0.0,0.0,0.238086002149,-429.085625254,0.0
679,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.000414663917203,1.01115250282,0.179745844096,1.69335986364,0.0,0.0,0.0,0.0,0.0,-429.085625254,0.0
680,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.0347974770326,0.95105174515,0.115680717212,1.7470134837,0.0,0.0,0.0,0.0,0.000810741424063,-429.085625254,0.0
681,-0.0721929564548,0.962652784095,0.221316059624,1.64876891883,-0.070718263407,1.07220184076,0.333758768329,1.70929872538,0.0,0.0,0.0,0.0,0.0,-429.085625254,0.0
682,0.0517017073321,0.887977695462,0.344865755691,1.94146168151,0.0517017073321,0.887977695462,0.344865755691,1.94146168151,0.0,0.0,0.0,0.0,0.0464023529721,-428.991889524,1.0
683,0.0517017073321,0.887977695462,0.344865755691,1.94146168151,-0.382799030257,0.889879844584,0.327102088348,1.9432672609,0.0,0.0,0.0,0.0,6.11905238184e-07,-428.991889524,0.0
684,0.0517017073321,0.887977695462,0.344865755691,1.94146168151,-0.145541272751,0.789002273865,0.287480167641,2.03437418351,0.0,0.0,0.0,0.0,0.0,-428.991889524,0.0
